Algorithm,Size,Comparisons,Exchanges,Time(ms)
Insertion Sort,6764,11378959,11385722,3
Insertion Sort,6387,10195374,10201760,2
Insertion Sort,2668,1753629,1756296,0
Insertion Sort,602,90958,91559,0
Insertion Sort,1725,763333,765057,0
Insertion Sort,9912,24484212,24494123,6
Insertion Sort,3683,3396847,3400529,0
Insertion Sort,975,244289,245263,0
Insertion Sort,3256,2628055,2631310,0
Insertion Sort,73,1188,1260,0
Insertion Sort,2769,1904563,1907331,0
Insertion Sort,7644,14565649,14573292,4
Insertion Sort,5386,7312507,7317892,2
Insertion Sort,2452,1508108,1510559,0
Insertion Sort,809,160612,161420,0
Insertion Sort,7558,14328193,14335750,4
Insertion Sort,4330,4691650,4695979,1
Insertion Sort,8602,18579805,18588406,5
Insertion Sort,6454,10493104,10499557,2
Insertion Sort,8374,17563203,17571576,4
Insertion Sort,8662,18710055,18718716,5
Insertion Sort,3410,2916042,2919451,0
Insertion Sort,1792,811104,812895,0
Insertion Sort,5013,6247555,6252567,1
Insertion Sort,811,168314,169124,0
Insertion Sort,6857,11829234,11836090,3
Insertion Sort,983,237309,238291,0
Insertion Sort,6802,11542033,11548834,3
Insertion Sort,1104,300021,301124,0
Insertion Sort,7880,15695533,15703412,4
Insertion Sort,7391,13491137,13498527,3
Insertion Sort,4384,4796462,4800845,1
Insertion Sort,7536,14237369,14244904,3
Insertion Sort,6958,12167694,12174651,3
Insertion Sort,7641,14505635,14513275,4
Insertion Sort,9533,22627822,22637354,6
Insertion Sort,4226,4447479,4451704,1
Insertion Sort,6236,9737671,9743906,2
Insertion Sort,6393,10460723,10467115,2
Insertion Sort,6797,11595153,11601949,3
Insertion Sort,4487,5060252,5064738,1
Insertion Sort,6319,9996901,10003219,2
Insertion Sort,8953,20117382,20126334,5
Insertion Sort,7558,14389934,14397491,3
Insertion Sort,5519,7685597,7691115,2
Insertion Sort,9480,22333968,22343447,6
Insertion Sort,6746,11463152,11469897,3
Insertion Sort,99,2411,2509,0
Insertion Sort,2584,1684495,1687078,0
Insertion Sort,9512,22554071,22563582,6
Insertion Sort,2049,1070459,1072507,0
Insertion Sort,1100,293663,294762,0
Insertion Sort,3460,2959320,2962779,0
Insertion Sort,5239,6827034,6832272,1
Insertion Sort,3990,3943781,3947770,1
Insertion Sort,4941,6004315,6009255,1
Insertion Sort,421,43288,43708,0
Insertion Sort,2499,1537278,1539776,0
Insertion Sort,2373,1410437,1412809,0
Insertion Sort,738,133797,134534,0
Insertion Sort,4536,5115002,5119537,1
Insertion Sort,5414,7397395,7402808,2
Insertion Sort,4110,4175205,4179314,1
Insertion Sort,9252,21550554,21559805,5
Insertion Sort,1548,591652,593199,0
Insertion Sort,128,4273,4400,0
Insertion Sort,2047,1035528,1037574,0
Insertion Sort,8941,20003516,20012456,5
Insertion Sort,5613,7888845,7894457,2
Insertion Sort,7811,15463097,15470907,4
Insertion Sort,7868,15341321,15349188,4
Insertion Sort,1144,339417,340560,0
Insertion Sort,7569,14373251,14380819,3
Insertion Sort,7038,12611444,12618481,3
Insertion Sort,9640,23293006,23302645,6
Insertion Sort,5684,8067242,8072925,2
Insertion Sort,478,55785,56262,0
Insertion Sort,913,206200,207112,0
Insertion Sort,4243,4487896,4492138,1
Insertion Sort,1191,354702,355892,0
Insertion Sort,6198,9687016,9693213,2
Insertion Sort,7151,12674599,12681749,3
Insertion Sort,5904,8607776,8613679,2
Insertion Sort,2287,1316960,1319246,0
Insertion Sort,5313,7015315,7020627,1
Insertion Sort,2,0,1,0
Insertion Sort,2898,2096773,2099670,0
Insertion Sort,2180,1175452,1177631,0
Insertion Sort,4294,4595157,4599450,1
Insertion Sort,2040,1040220,1042259,0
Insertion Sort,546,76818,77363,0
Insertion Sort,4809,5669855,5674663,1
Insertion Sort,5125,6494507,6499631,1
Insertion Sort,5274,6841988,6847261,1
Insertion Sort,4832,5886823,5891654,1
Insertion Sort,4753,5588565,5593317,1
Insertion Sort,6403,10295786,10302188,2
Insertion Sort,6590,10841642,10848231,3
Insertion Sort,2179,1178694,1180872,0
Insertion Sort,7534,13964357,13971890,3
Insertion Sort,6226,9647049,9653274,2
Insertion Sort,6914,12206921,12213834,3
Insertion Sort,6942,12178191,12185132,3
Insertion Sort,9332,21823406,21832737,6
Insertion Sort,1468,549155,550622,0
Insertion Sort,8793,19658700,19667492,5
Insertion Sort,882,199497,200378,0
Insertion Sort,6541,10576713,10583253,2
Insertion Sort,7789,15176480,15184268,4
Insertion Sort,9651,23536846,23546496,6
Insertion Sort,4458,4939267,4943724,1
Insertion Sort,9589,23063280,23072868,6
Insertion Sort,6059,9131708,9137766,2
Insertion Sort,7028,12297161,12304188,3
Insertion Sort,631,96450,97080,0
Insertion Sort,3734,3426537,3430270,0
Insertion Sort,67,1064,1130,0
Insertion Sort,1846,850764,852609,0
Insertion Sort,1912,905211,907122,0
Insertion Sort,2894,2074649,2077542,0
Insertion Sort,6928,12021507,12028434,3
Insertion Sort,4586,5239717,5244302,1
Insertion Sort,8101,16352856,16360956,4
Insertion Sort,2859,2041296,2044154,0
Insertion Sort,6122,9489552,9495673,2
Insertion Sort,7930,15993160,16001089,4
Insertion Sort,8152,16697887,16706038,4
Insertion Sort,8697,19035281,19043977,5
Insertion Sort,2505,1589985,1592489,0
Insertion Sort,7226,13289108,13296333,3
Insertion Sort,3705,3367314,3371018,0
Insertion Sort,6835,11597452,11604286,3
Insertion Sort,5909,8790278,8796186,2
Insertion Sort,4173,4367015,4371187,1
Insertion Sort,6965,11904460,11911424,3
Insertion Sort,6453,10537607,10544059,2
Insertion Sort,6236,9796531,9802766,2
Insertion Sort,3524,3144678,3148201,0
Insertion Sort,9498,22532245,22541742,6
Insertion Sort,4770,5690167,5694936,1
Insertion Sort,4318,4641085,4645402,1
Insertion Sort,6481,10340912,10347392,2
Insertion Sort,1378,476404,477781,0
Insertion Sort,577,84529,85105,0
Insertion Sort,4745,5641136,5645880,1
Insertion Sort,5322,7078093,7083414,1
Insertion Sort,2873,2033169,2036041,0
Insertion Sort,4306,4669682,4673987,1
Insertion Sort,4732,5680379,5685110,1
Insertion Sort,9545,22644903,22654447,6
Insertion Sort,6012,9004285,9010296,2
Insertion Sort,1087,296761,297847,0
Insertion Sort,6170,9582284,9588453,2
Insertion Sort,9871,24177735,24187605,6
Insertion Sort,7024,12465149,12472172,3
Insertion Sort,910,202234,203143,0
Insertion Sort,941,226839,227779,0
Insertion Sort,3224,2545392,2548615,0
Insertion Sort,3516,3039497,3043012,0
Insertion Sort,3074,2370979,2374052,0
Insertion Sort,8755,19267365,19276119,5
Insertion Sort,2538,1599897,1602434,0
Insertion Sort,9333,21806400,21815732,6
Insertion Sort,8784,19158395,19167178,5
Insertion Sort,4778,5687406,5692183,1
Insertion Sort,6792,11486677,11493468,3
Insertion Sort,5860,8509510,8515369,2
Insertion Sort,9792,23775869,23785660,6
Insertion Sort,7044,12495731,12502774,3
Insertion Sort,5428,7411099,7416526,2
Insertion Sort,261,16218,16478,0
Insertion Sort,5402,7223852,7229253,2
Insertion Sort,6775,11375136,11381910,3
Insertion Sort,9296,21696395,21705690,6
Insertion Sort,2719,1835944,1838662,0
Insertion Sort,6319,9910927,9917245,2
Insertion Sort,7620,14477434,14485053,4
Insertion Sort,6613,10824983,10831595,3
Insertion Sort,8955,20174409,20183363,5
Insertion Sort,6218,9660613,9666830,2
Insertion Sort,3665,3407143,3410807,0
Insertion Sort,3677,3337301,3340977,0
Insertion Sort,1427,507432,508858,0
Insertion Sort,7611,14414257,14421867,4
Insertion Sort,6677,11122148,11128824,3
Insertion Sort,6570,10731805,10738374,2
Insertion Sort,3512,3063631,3067142,0
Insertion Sort,8339,17623652,17631990,4
Insertion Sort,5552,7659011,7664562,2
Insertion Sort,746,144841,145586,0
Insertion Sort,7711,14859572,14867282,4
Insertion Sort,2303,1358554,1360856,0
Insertion Sort,1029,250993,252021,0
Insertion Sort,8722,18766132,18774853,5
Insertion Sort,7962,15890189,15898150,4
Insertion Sort,8843,19374927,19383769,5
Insertion Sort,6548,10589399,10595946,2
Insertion Sort,967,235571,236537,0
Insertion Sort,5503,7570347,7575849,2
Insertion Sort,695,114156,114850,0
Insertion Sort,1800,794540,796339,0
Insertion Sort,1707,736339,738045,0
Insertion Sort,6567,10804429,10810995,3
Insertion Sort,3175,2567286,2570460,0
Insertion Sort,2602,1706472,1709073,0
Insertion Sort,1957,937193,939149,0
Insertion Sort,5653,8051048,8056700,2
Insertion Sort,9364,22106272,22115635,6
Insertion Sort,4096,4177738,4181833,1
Insertion Sort,5529,7670863,7676391,2
Insertion Sort,8592,18478550,18487141,5
Insertion Sort,8528,18272536,18281063,5
Insertion Sort,4310,4643658,4647967,1
Insertion Sort,807,160516,161322,0
Insertion Sort,2943,2127859,2130801,0
Insertion Sort,2246,1291049,1293294,0
Insertion Sort,2743,1900914,1903656,0
Insertion Sort,7296,13335524,13342819,3
Insertion Sort,3537,3129221,3132757,0
Insertion Sort,7168,12636899,12644066,3
Insertion Sort,3400,2895571,2898970,0
Insertion Sort,7234,13267094,13274327,3
Insertion Sort,4406,4855362,4859767,1
Insertion Sort,9203,21201560,21210762,5
Insertion Sort,6081,9037946,9044026,2
Insertion Sort,212,11031,11242,0
Insertion Sort,8349,17321021,17329369,4
Insertion Sort,9941,24725297,24735237,6
Insertion Sort,1273,409398,410670,0
Insertion Sort,7869,15700114,15707982,4
Insertion Sort,8714,18981754,18990467,5
Insertion Sort,7855,15515105,15522959,4
Insertion Sort,7133,12702996,12710128,3
Insertion Sort,7136,12728561,12735696,3
Insertion Sort,1827,826840,828666,0
Insertion Sort,1821,847326,849146,0
Insertion Sort,3356,2810657,2814012,0
Insertion Sort,289,21660,21948,0
Insertion Sort,136,4166,4301,0
Insertion Sort,9234,21516076,21525309,6
Insertion Sort,4418,4840644,4845061,1
Insertion Sort,1179,355648,356826,0
Insertion Sort,7549,14363192,14370740,4
Insertion Sort,1592,653063,654654,0
Insertion Sort,1631,666988,668618,0
Insertion Sort,8362,17375440,17383801,4
Insertion Sort,4214,4455445,4459658,1
Insertion Sort,1749,764257,766005,0
Insertion Sort,132,4426,4557,0
Insertion Sort,5475,7472870,7478344,2
Insertion Sort,7470,13751289,13758758,3
Insertion Sort,6793,11565994,11572786,3
Insertion Sort,9929,24274344,24284272,7
Insertion Sort,3796,3554408,3558203,1
Insertion Sort,4899,5959196,5964094,1
Insertion Sort,500,62328,62827,0
Insertion Sort,1197,362786,363982,0
Insertion Sort,7942,15685894,15693835,4
Insertion Sort,4385,4855399,4859783,1
Insertion Sort,2756,1922225,1924980,0
Insertion Sort,6987,12343170,12350156,3
Insertion Sort,4639,5383796,5388434,1
Insertion Sort,5689,8113306,8118994,2
Insertion Sort,44,394,437,0
Insertion Sort,790,147961,148750,0
Insertion Sort,5188,6749228,6754415,2
Insertion Sort,830,172253,173082,0
Insertion Sort,2417,1448530,1450946,0
Insertion Sort,9425,21877534,21886958,6
Insertion Sort,2203,1223374,1225576,0
Insertion Sort,717,127450,128166,0
Insertion Sort,8654,18665935,18674588,5
Insertion Sort,6494,10597289,10603782,3
Insertion Sort,2798,1982925,1985722,0
Insertion Sort,118,3530,3647,0
Insertion Sort,4967,6096334,6101300,1
Insertion Sort,4128,4208174,4212301,1
Insertion Sort,1916,905092,907007,0
Insertion Sort,6651,11062361,11069011,3
Insertion Sort,3674,3345382,3349055,1
Insertion Sort,6318,9901461,9907778,2
Insertion Sort,1609,647269,648877,0
Insertion Sort,740,132143,132882,0
Insertion Sort,6001,8998336,9004336,2
Insertion Sort,6663,11123404,11130066,3
Insertion Sort,6390,10098094,10104483,2
Insertion Sort,8268,17129986,17138253,4
Insertion Sort,2740,1885855,1888594,0
Insertion Sort,8317,17275142,17283458,4
Insertion Sort,3243,2591537,2594779,0
Insertion Sort,6651,11228377,11235027,3
Insertion Sort,3308,2780810,2784117,0
Insertion Sort,896,200878,201773,0
Insertion Sort,4353,4717446,4721798,1
Insertion Sort,5217,6834801,6840017,1
Insertion Sort,2963,2213905,2216867,0
Insertion Sort,6872,11855749,11862620,3
Insertion Sort,3932,3889899,3893830,1
Insertion Sort,3580,3263046,3266625,0
Insertion Sort,6278,9873931,9880208,2
Insertion Sort,9933,24621031,24630963,6
Insertion Sort,5062,6405086,6410147,1
Insertion Sort,2294,1320786,1323079,0
Insertion Sort,5564,7748971,7754534,2
Insertion Sort,2838,2031625,2034462,0
Insertion Sort,8311,17418850,17427160,4
Insertion Sort,6079,9222804,9228882,2
Insertion Sort,7328,13361125,13368452,3
Insertion Sort,8413,17683702,17692114,4
Insertion Sort,5871,8565857,8571727,2
Insertion Sort,7538,14373274,14380811,3
Insertion Sort,3466,3042495,3045960,0
Insertion Sort,9756,23837527,23847282,6
Insertion Sort,598,86825,87422,0
Insertion Sort,3670,3353231,3356900,0
Insertion Sort,9373,21845687,21855059,6
Insertion Sort,7734,15075525,15083258,4
Insertion Sort,5290,7006052,7011341,2
Insertion Sort,2723,1854179,1856901,0
Insertion Sort,7753,15107650,15115402,4
Insertion Sort,1892,881112,883003,0
Insertion Sort,5576,7843236,7848811,2
Insertion Sort,6527,10616365,10622891,2
Insertion Sort,6752,11408760,11415511,3
Insertion Sort,154,6796,6949,0
Insertion Sort,7479,14057237,14064715,3
Insertion Sort,5333,7146214,7151546,2
Insertion Sort,9190,21492947,21502136,6
Insertion Sort,182,8234,8415,0
Insertion Sort,253,15716,15968,0
Insertion Sort,9920,24540391,24550310,6
Insertion Sort,7745,15127281,15135025,4
Insertion Sort,4932,6098810,6103741,1
Insertion Sort,4341,4660341,4664681,1
Insertion Sort,8953,20158562,20167514,5
Insertion Sort,9232,21401335,21410566,6
Insertion Sort,2161,1187461,1189621,0
Insertion Sort,9384,21906522,21915905,6
Insertion Sort,1947,962469,964415,0
Insertion Sort,7960,15993469,16001428,4
Insertion Sort,4426,4893618,4898043,1
Insertion Sort,9384,22023431,22032814,6
Insertion Sort,511,66856,67366,0
Insertion Sort,5562,7684459,7690020,2
Insertion Sort,1183,339525,340707,0
Insertion Sort,4796,5690357,5695152,1
Insertion Sort,6409,10272701,10279109,2
Insertion Sort,8384,17813332,17821715,4
Insertion Sort,3258,2667160,2670417,0
Insertion Sort,2293,1297221,1299513,0
Insertion Sort,8254,16838058,16846311,4
Insertion Sort,3926,3868340,3872265,1
Insertion Sort,1478,544157,545634,0
Insertion Sort,5904,8731787,8737690,2
Insertion Sort,4689,5466160,5470848,1
Insertion Sort,9445,22369513,22378957,6
Insertion Sort,7854,15324302,15332155,4
Insertion Sort,9476,22536003,22545478,6
Insertion Sort,7944,15832347,15840290,4
Insertion Sort,1306,428925,430230,0
Insertion Sort,1652,666193,667844,0
Insertion Sort,715,126648,127362,0
Insertion Sort,1359,467107,468465,0
Insertion Sort,7990,15855808,15863797,4
Insertion Sort,890,201900,202789,0
Insertion Sort,9549,22749390,22758938,6
Insertion Sort,1209,364398,365606,0
Insertion Sort,4046,4170438,4174483,1
Insertion Sort,112,3270,3381,0
Insertion Sort,8583,18368989,18377571,5
Insertion Sort,4943,6207107,6212049,1
Insertion Sort,4723,5572958,5577680,1
Insertion Sort,282,19726,20007,0
Insertion Sort,4747,5572034,5576780,1
Insertion Sort,8903,19464606,19473508,5
Insertion Sort,9388,21966197,21975584,6
Insertion Sort,6797,11629165,11635961,3
Insertion Sort,721,126266,126986,0
Insertion Sort,3857,3709087,3712943,1
Insertion Sort,6895,11851868,11858762,3
Insertion Sort,4215,4527616,4531830,1
Insertion Sort,7851,15425151,15433001,4
Insertion Sort,4944,6201459,6206402,1
Insertion Sort,5263,6877095,6882357,1
Insertion Sort,5224,6769892,6775115,1
Insertion Sort,4839,5968334,5973172,1
Insertion Sort,4052,4055046,4059097,1
Insertion Sort,7326,13419539,13426864,3
Insertion Sort,9425,22204937,22214361,6
Insertion Sort,4477,5037042,5041518,1
Insertion Sort,1952,955134,957085,0
Insertion Sort,948,231881,232828,0
Insertion Sort,6535,10588052,10594586,3
Insertion Sort,3464,3004235,3007698,0
Insertion Sort,1789,794640,796428,0
Insertion Sort,3176,2494434,2497609,0
Insertion Sort,3059,2350334,2353392,0
Insertion Sort,8850,19531556,19540405,5
Insertion Sort,4570,5201941,5206510,1
Insertion Sort,3755,3574940,3578694,1
Insertion Sort,89,1996,2084,0
Insertion Sort,7607,14510634,14518240,4
Insertion Sort,1246,398803,400048,0
Insertion Sort,4660,5390148,5394807,1
Insertion Sort,9395,21825941,21835335,6
Insertion Sort,4523,5123326,5127848,1
Insertion Sort,8492,18127456,18135947,5
Insertion Sort,5045,6283205,6288249,1
Insertion Sort,7802,15113961,15121762,4
Insertion Sort,9848,24262866,24272713,6
Insertion Sort,1346,454170,455515,0
Insertion Sort,7565,14350851,14358415,3
Insertion Sort,9585,22929594,22939178,6
Insertion Sort,8768,19233941,19242708,5
Insertion Sort,6222,9683054,9689275,2
Insertion Sort,6263,9840585,9846847,2
Insertion Sort,5261,6891351,6896611,1
Insertion Sort,8193,16897886,16906078,4
Insertion Sort,9804,24207880,24217683,6
Insertion Sort,7856,15404008,15411863,4
Insertion Sort,9637,23469287,23478923,6
Insertion Sort,518,64047,64564,0
Insertion Sort,4801,5897908,5902708,1
Insertion Sort,8198,16646387,16654584,4
Insertion Sort,834,171119,171952,0
Insertion Sort,1242,387626,388867,0
Insertion Sort,8925,19907295,19916219,5
Insertion Sort,9995,24908057,24918051,6
Insertion Sort,8434,17971206,17979639,4
Insertion Sort,695,119142,119836,0
Insertion Sort,7457,13905066,13912522,3
Insertion Sort,681,109534,110214,0
Insertion Sort,2384,1421273,1423656,0
Insertion Sort,205,10853,11057,0
Insertion Sort,5085,6444025,6449109,1
Insertion Sort,960,223314,224273,0
Insertion Sort,7352,13529510,13536861,3
Insertion Sort,1278,411505,412782,0
Insertion Sort,2564,1660582,1663145,0
Insertion Sort,4698,5447571,5452268,1
Insertion Sort,8297,17243809,17252105,4
Insertion Sort,2117,1151240,1153356,0
Insertion Sort,1007,264302,265308,0
Insertion Sort,5487,7490758,7496244,2
Insertion Sort,9579,23093682,23103260,6
Insertion Sort,9223,21330652,21339874,5
Insertion Sort,8730,19037163,19045892,5
Insertion Sort,9988,25014387,25024374,6
Insertion Sort,2362,1409857,1412218,0
Insertion Sort,3779,3567710,3571488,1
Insertion Sort,239,14446,14684,0
Insertion Sort,2863,2056612,2059474,0
Insertion Sort,3807,3651406,3655212,1
Insertion Sort,979,239973,240951,0
Insertion Sort,765,146274,147038,0
Insertion Sort,7861,15455847,15463707,4
Insertion Sort,4281,4558708,4562988,1
Insertion Sort,6500,10428780,10435279,2
Insertion Sort,5716,8122374,8128089,2
Insertion Sort,4741,5730286,5735026,1
Insertion Sort,4653,5450125,5454777,1
Insertion Sort,7121,12570529,12577649,3
Insertion Sort,1248,388238,389485,0
Insertion Sort,3501,3090548,3094048,0
Insertion Sort,7847,15211160,15219006,4
Insertion Sort,891,197848,198738,0
Insertion Sort,4944,6235646,6240589,1
Insertion Sort,3498,3003950,3007447,0
Insertion Sort,124,3839,3962,0
Insertion Sort,6998,12311676,12318673,3
Insertion Sort,6114,9342574,9348687,2
Insertion Sort,9053,20541390,20550442,5
Insertion Sort,5086,6496893,6501978,1
Insertion Sort,6109,9295459,9301567,2
Insertion Sort,8077,16114087,16122163,4
Insertion Sort,9096,20718713,20727808,5
Insertion Sort,6667,10844102,10850768,3
Insertion Sort,5318,7013752,7019069,1
Insertion Sort,3482,3052850,3056331,0
Insertion Sort,1945,959277,961221,0
Insertion Sort,6018,9045445,9051462,2
Insertion Sort,5487,7563625,7569111,2
Insertion Sort,8319,17476940,17485258,4
Insertion Sort,3181,2513515,2516695,0
Insertion Sort,5826,8437703,8443528,2
Insertion Sort,6503,10582483,10588985,2
Insertion Sort,9561,22850932,22860492,6
Insertion Sort,2422,1445463,1447884,0
Insertion Sort,8721,18875305,18884025,5
Insertion Sort,4794,5662391,5667184,1
Insertion Sort,1526,584191,585716,0
Insertion Sort,3271,2679937,2683207,0
Insertion Sort,1238,376411,377648,0
Insertion Sort,7573,14499635,14507207,4
Insertion Sort,6989,12204798,12211786,3
Insertion Sort,5532,7646279,7651810,2
Insertion Sort,8149,16644895,16653043,4
Insertion Sort,8215,16829255,16837469,4
Insertion Sort,7770,15276862,15284631,4
Insertion Sort,9382,22022461,22031842,6
Insertion Sort,3796,3634855,3638650,1
